Link,Area,Year of Building,Number of Rooms,Elevator,Parking,Storage,Bale,Price,Tabaghe,Subtitle
https://divar.ir/v/%DB%B2%DB%B2%DB%B0-%D9%85%D8%AA%D8%B1-%D9%81%D8%B1%D8%A7%D8%AA%D8%B1-%D8%A7%D8%B2-%D9%85%D8%B9%D9%85%D9%88%D9%84-%D8%AA%D8%AC%D8%B1%D8%A8%D9%87-%DA%A9%D9%86%DB%8C%D8%AF/wZwUWbWL,۲۲۰,۱۴۰۱,۳,آسانسور,پارکینگ,انباری,nan,۲۸۷٬۵۰۰٬۰۰۰ تومان,nan,لحظاتی پیش در تهران، سعادت‌آباد
https://divar.ir/v/%DB%B6%DB%B0%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%A8%D9%87%D9%86%D9%88%D8%AF/wZIabtJw,۶۰,۱۴۰۳,۲,آسانسور,پارکینگ,انباری,nan,۱۰۱٬۶۶۶٬۰۰۰ تومان,nan,لحظاتی پیش در تهران، جیحون
https://divar.ir/v/%DB%B2%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1-%D8%AA%D8%AC%D8%B1%D8%A8%D9%87-%D8%A7%DB%8C-%D8%AF%D9%84%D9%86%D8%B4%DB%8C%D9%86-%D8%A7%D8%B2-%DA%A9%D8%A7%D9%84%DA%A9%D8%B4%D9%86%D9%90-%D8%A7%D8%B9%DB%8C%D8%A7%D9%86%DB%8C/wZ00FFdB,۲۵۰,۱۴۰۱,۳,آسانسور,پارکینگ,انباری,nan,۲۹۰٬۰۰۰٬۰۰۰ تومان,nan,لحظاتی پیش در تهران، سعادت‌آباد
https://divar.ir/v/%DB%B138-%D9%85%D8%AA%D8%B1-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86/wZ7tY4Ql,۱۳۸,۱۳۹۰,۳,آسانسور,پارکینگ,انباری,nan,۱۱۲٬۳۱۸٬۰۰۰ تومان,nan,دقایقی پیش در تهران، پونک
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B2%DB%B4%DB%B6%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D8%B3%DB%8C%D8%A7%D8%B1-%D8%AE%D9%88%D8%B4-%D9%82%DB%8C%D9%85%D8%AA/wZT6ZD1-,۲۴۶,۱۳۹۷,۳,آسانسور,پارکینگ,انباری,بله,۴۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۶,دقایقی پیش در تهران، ولنجک
https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B4-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%82%D8%AF%D8%B1%D8%A7%D9%84%D8%B3%D9%87%D9%85-%D8%A8%D8%A7-%D8%A7%D8%B1%D8%B2%D8%B4/wZN2HBVA,۷۴,۱۳۸۰,۲,آسانسور ندارد,پارکینگ,انباری,بله,۷٬۲۳۰٬۰۰۰٬۰۰۰ تومان,۴,دقایقی پیش در تهران، کوی مهران
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%8691%D9%85%D8%AA%D8%B1%DB%8C/wZ758_71,۹۱,۱۳۹۸,۲,آسانسور,پارکینگ,انباری ندارد,بله,۴٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۲ از ۵,دقایقی پیش در تهران، مقدم
https://divar.ir/v/%DB%B5%DB%B9%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D8%AE%D9%88%D8%A7%D8%A8-%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86/wZSWwU0b,۵۹,۱۴۰۳,۱,آسانسور,پارکینگ,انباری,nan,۱۰۱٬۶۹۴٬۰۰۰ تومان,nan,دقایقی پیش در تهران، آذربایجان
https://divar.ir/v/%DB%B1%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1-%D8%B3%D9%87-%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C/wZP660bd,۱۵۰,۱۳۹۸,۳,آسانسور,پارکینگ,انباری,بله,۱۱٬۴۰۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵,دقایقی پیش در تهران، شهرک ولیعصر
https://divar.ir/v/%DB%B2%DB%B5%DB%B0%D9%85%D8%AA%D8%B1-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%B3%D8%AA%D8%B1-%D8%A8%D8%B1-%D9%81%D8%B1%D8%A7%D8%B2-%D8%A7%D8%A8%D8%B1%D9%87%D8%A7-%D8%A7%D8%B9%D8%AC%D8%A7%D8%B2-%D9%86%D9%88%D8%B1-%D9%88-%D9%86%D9%82%D8%B4%D9%87/wZNuPFDM,۲۵۰,۱۳۹۳,۳,آسانسور,پارکینگ,انباری,بله,۵۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸ از ۸,دقایقی پیش در تهران، پاسداران
https://divar.ir/v/%DB%B2%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%81%D9%88%D9%84-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%AF%D8%B1%D9%88%D8%B3/wZOQRNym,۱۹۸,۱۴۰۳,۳,آسانسور,پارکینگ,انباری,nan,۲۳۹٬۸۹۸٬۰۰۰ تومان,nan,دقایقی پیش در تهران، دروس
https://divar.ir/v/55%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%86%D9%82%D8%B4%D9%87-%D9%85%D9%87%D9%86%D8%AF%D8%B3%DB%8C-%D9%86%D9%88%D8%B1%DA%AF%DB%8C%D8%B1/wZT65-ql,۵۵,۱۳۹۶,۱,آسانسور,پارکینگ ندارد,انباری,بله,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۴,دقایقی پیش در تهران، جیحون
https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B8%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%AC%D8%A7%D9%87%D8%AF%DA%A9%D8%A8%DB%8C%D8%B1/wZKmlCDL,۷۸,۱۳۸۴,۲,آسانسور ندارد,پارکینگ,انباری,بله,۷٬۴۸۰٬۰۰۰٬۰۰۰ تومان,۲,دقایقی پیش در تهران، جنت‌آباد جنوبی
https://divar.ir/v/%D8%AF%D8%B1%D9%88%D8%B3-%DB%B1%DB%B5%DB%B7-%D9%85%D8%AA%D8%B1-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D9%86%D9%88%D8%B3%D8%A7%D8%B2%DB%8C-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86/wZ6Uml_R,۱۵۷,۱۳۸۲,۳,آسانسور,پارکینگ,انباری,بله,۲۹٬۹۹۹٬۰۰۰٬۰۰۰ تومان,۲ از ۵,دقایقی پیش در تهران، دروس
https://divar.ir/v/%DB%B2%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A2%D8%A8%DB%8C-%D9%81%D9%88%D9%84-%D9%86%D9%88%D8%B3%D8%A7%D8%B2%DB%8C-%D8%AF%D8%B1%D9%88%D8%B3/wZ6lnDDq,۲۰۰,۱۳۸۵,۳,آسانسور,پارکینگ,انباری,بله,۳۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۶ از ۶,دقایقی پیش در تهران، دروس
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%B3%D8%AA%D8%B1-top-loc-%D9%BE%D8%A7%D8%B3%D8%AF%D8%A7%D8%B1%D8%A7%D9%86/wZj9MGCC,۱۶۰,۱۳۹۵,۳,آسانسور,پارکینگ,انباری,بله,۳۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۲ از ۵,دقایقی پیش در تهران، پاسداران
https://divar.ir/v/96%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%B4%D8%A7%D9%87%DA%A9%D8%A7%D8%B1/wZt1HhI0,۹۶,۱۳۹۵,۲,آسانسور,پارکینگ,انباری,بله,۶٬۳۹۰٬۰۰۰٬۰۰۰ تومان,۴ از ۴,دقایقی پیش در تهران، جیحون
https://divar.ir/v/%DB%B2%DB%B4%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%B3%D8%AA%D8%B1-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-top-loc-%D9%BE%D8%A7%D8%B3%D8%AF%D8%A7%D8%B1%D8%A7%D9%86/wZjttHku,۲۴۰,۱۴۰۳,۳,آسانسور,پارکینگ,انباری,بله,۷۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲ از ۵,دقایقی پیش در تهران، پاسداران
https://divar.ir/v/%D9%86%DB%8C%D8%A7%D9%88%D8%B1%D8%A7%D9%86-%DB%B1%DB%B1%DB%B4-%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87-%D8%A8%D8%A7%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA/wZJSARWq,۱۱۴,۱۳۹۸,۲,آسانسور,پارکینگ,انباری,nan,۲۳۶٬۸۴۲٬۰۰۰ تومان,nan,دقایقی پیش در تهران، نیاوران
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B3%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C/wZT25_4i,۷۳,۱۳۸۶,۲,آسانسور ندارد,پارکینگ ندارد,انباری,بله,۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۴,دقایقی پیش در تهران، بهداشت
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B4%DB%B7-%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D8%B1%D9%88%D8%B2%D8%B4/wZT6ZnHZ,۴۷,۱۳۸۴,۱,آسانسور ندارد,پارکینگ ندارد,انباری,بله,۳٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴,دقایقی پیش در تهران، امیر بهادر
https://divar.ir/v/%DB%B4%DB%B6-%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%B4%DB%8C%DA%A9-%D9%88-%D8%BA%D8%B1%D9%82-%D9%86%D9%88%D8%B1/wZT6pi3a,۴۶,۱۳۹۰,۱,آسانسور ندارد,پارکینگ ندارد,انباری,بله,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۴,دقایقی پیش در تهران، جیحون
https://divar.ir/v/%D9%82%D9%84%D8%A8-%D9%85%D9%86%D8%B7%D9%82%D9%87-%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%A8%D8%B1-%DA%A9%D9%84%D9%87%D8%B1/wZCaWxZT,۵۰,۱۳۸۷,۱,آسانسور,پارکینگ,انباری,nan,۹۱٬۰۰۰٬۰۰۰ تومان,nan,دقایقی پیش در تهران، آذربایجان
https://divar.ir/v/%DB%8C-%D8%AE%D9%88%D9%86%D9%87-%D9%86%D9%82%D9%84%DB%8C%D9%87-%D9%87%D9%85%D9%87-%DA%86%DB%8C-%D8%AA%D9%85%D9%88%D9%85/wZSOlLpS,۴۰,۱۳۹۵,۱,آسانسور,پارکینگ,انباری,nan,۶۷٬۵۰۰٬۰۰۰ تومان,nan,دقایقی پیش در تهران، جیحون
https://divar.ir/v/%DB%B5%DB%B6-%D9%85%D8%AA%D8%B1-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87-%D9%81%D8%A7%DB%8C%D9%84-%DB%B5-%D8%B3%D8%AA%D8%A7%D8%B1%D9%87/wZxRjwCv,۵۶,۱۴۰۰,۱,آسانسور,پارکینگ,انباری,بله,۶٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۳,دقایقی پیش در تهران، پونک
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D8%AE%D9%88%D8%A7%D8%AC%D9%87-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87/wZDBzpoL,۱۵۰,۱۳۹۸,۳,آسانسور,پارکینگ,انباری,nan,۱۲۳٬۳۳۳٬۰۰۰ تومان,nan,دقایقی پیش در تهران، سیدخندان
https://divar.ir/v/79%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B1%D9%88-%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D8%B4%D9%87%D8%B1%D8%B2%DB%8C%D8%A8%D8%A7/wZS-DdaA,۷۹,۱۳۸۵,۲,آسانسور ندارد,پارکینگ ندارد,انباری,nan,۶۷٬۰۸۸٬۰۰۰ تومان,nan,دقایقی پیش در تهران، سازمان آب
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%A8%D8%A7%D8%A8-%D8%AF%D9%84-%D8%B3%D8%AE%D8%AA-%D9%BE%D8%B3%D9%86%D8%AF%D8%A7%D9%86-%DB%B4%DB%B1%D9%85%D8%AA%D8%B1%DB%8C-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87/wZT65P0S,۴۱,۱۳۹۹,۱,آسانسور ندارد,پارکینگ,انباری,nan,۳۰٬۴۸۷٬۰۰۰ تومان,nan,دقایقی پیش در تهران، شهر زیبا
https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B1-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D9%85%DB%8C%D8%B1%D8%AF%D8%A7%D9%85%D8%A7%D8%AF/wZT6JMtG,۷۰,۱۳۸۵,۱,آسانسور,پارکینگ,انباری,بله,۱۰٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۱,دقایقی پیش در تهران، میرداماد
https://divar.ir/v/%D9%85%DB%8C%D8%B1%D8%AF%D8%A7%D9%85%D8%A7%D8%AF-%D9%86%D9%88%D8%B3%D8%A7%D8%B2%D8%A8%D8%B1%D9%86%D8%AF-%DB%B1%DB%B3%DB%B0%D9%85%D8%AA%D8%B1-%D8%B4%D8%A7%D9%87%DA%A9%D8%A7%D8%B1-%D9%85%D8%B9%D9%85%D8%A7%D8%B1%DB%8C-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%B3%D8%AA%D8%B1/wZC0ELVR,۱۳۵,۱۴۰۳,۲,آسانسور,پارکینگ,انباری,بله,۳۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۴ از ۵,دقایقی پیش در تهران، میرداماد
https://divar.ir/v/%DB%B1%DB%B3%DB%B5%D9%85%D8%AA%D8%B1-%D9%85%D8%AF%D8%A8%D8%B1-%D8%B4%D8%AE%D8%B5%DB%8C-%D8%B3%D8%A7%D8%B2/wZapsNhE,۱۳۵,۱۴۰۰,۲,آسانسور,پارکینگ,انباری,بله,۲۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۳,دقایقی پیش در تهران، یوسف‌آباد
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B0%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86-%DA%A9%D9%85%DB%8C%D9%84-%D8%B1%D9%88%D8%AF%DA%A9%DB%8C/wZT65F7-,۹۰,۱۳۹۷,۲,آسانسور,پارکینگ,انباری,بله,۷٬۱۸۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴,دقایقی پیش در تهران، سلسبیل
https://divar.ir/v/%DB%B1%DB%B1%DB%B0%D9%85%D8%AA%D8%B1-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86-%D8%AC%D9%86%D8%AA-%D8%A2%D8%A8%D8%A7%D8%AF/wZOqxQGP,۱۱۰,۱۳۸۸,۳,آسانسور,پارکینگ,انباری,بله,۱۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۳,دقایقی پیش در تهران، جنت‌آباد مرکزی
https://divar.ir/v/%D9%85%DB%8C%D8%B1%D8%AF%D8%A7%D9%85%D8%A7%D8%AF-%DB%B8%DB%B6%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D8%B2%D9%87-%DA%A9%D9%84%D8%A7%D8%B3%DB%8C%DA%A9/wZTy5Tov,۸۶,۱۴۰۰,۲,آسانسور,پارکینگ,انباری,بله,۱۷٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۱,دقایقی پیش در تهران، میرداماد
https://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B6-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87/wZT6ZLWw,۷۶,۱۳۷۵,۲,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,بله,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲,دقایقی پیش در تهران، ظهیرآباد
https://divar.ir/v/%D8%A2-%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86%DB%B1%DB%B7%DB%B6%D9%85%D8%AA%D8%B1%DB%8C-%D8%AF%D8%B1%D9%88%D8%B3-%DB%B2%DB%B0%DB%B0%DB%B0%D9%85%D8%AA%D8%B1-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA/gZMW_u__,۱۷۶,۱۴۰۳,۳,آسانسور,پارکینگ,انباری,nan,۲۷۸٬۴۰۹٬۰۰۰ تومان,nan,دقایقی پیش در تهران، دروس
https://divar.ir/v/%D8%AC%D9%84%D9%81%D8%A7-%DB%B1%DB%B4%DB%B0%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%D9%87-%D8%A8%D8%B1%D9%86%D8%AF/gZ4KXBST,۱۴۰,۱۴۰۳,۳,آسانسور,پارکینگ,انباری,بله,۲۳٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴ از ۵,دقایقی پیش در تهران، جلفا
